,_c0,id,price,sales,prev_price,prev_sales,PriceElasticty,SalesRevenue
0,0,1,0.53,49998,,,,26498.940000000002
1,1,2,0.72,49997,0.53,49998.0,6.579276332237666e-05,35997.84
2,2,3,1.74,49995,0.72,49997.0,4.823915324990705e-05,86991.3
3,3,4,2.54,49993,1.74,49995.0,0.00010701284154098491,126982.22
4,4,5,4.61,49990,2.54,49993.0,0.00010364080734304542,230453.90000000002
5,5,6,4.82,49989,4.61,49990.0,0.0004491419388547786,240946.98
6,6,7,9.83,49983,4.82,49989.0,0.0001754982413039723,491332.89
7,7,8,10.61,49981,9.83,49983.0,0.0005242913089737951,530298.4099999999
8,8,9,12.08,49978,10.61,49981.0,0.00046325115746435603,603734.24
9,9,10,12.53,49977,12.08,49978.0,0.0005471350996837475,626211.8099999999
10,10,11,12.68,49976,12.53,49977.0,0.0016814569514338367,633695.6799999999
11,11,12,14.72,49973,12.68,49976.0,0.00040314678132906585,735602.56
12,12,13,14.96,49972,14.72,49973.0,0.0012373472076308626,747581.12
13,13,14,15.31,49970,14.96,49972.0,0.0017307181022135714,765040.7000000001
14,14,15,15.71,49969,15.31,49970.0,0.0007759733437396806,785012.99
15,15,16,16.3,49967,15.71,49969.0,0.0010857796447353428,814462.1000000001
16,16,17,19.63,49963,16.3,49967.0,0.0004318939173337254,980773.69
17,17,18,19.84,49962,19.63,49963.0,0.0018809345104066069,991246.08
18,18,19,20.17,49960,19.84,49962.0,0.0024267413430960863,1007693.2000000001
19,19,20,20.36,49959,20.17,49960.0,0.002134887153331066,1017165.24
20,20,21,21.88,49957,20.36,49959.0,0.0005562567293368536,1093059.16
21,21,22,22.49,49955,21.88,49957.0,0.0014560354095210354,1123487.95
22,22,23,23.5,49953,22.49,49955.0,0.0009115316784511041,1173895.5
23,23,24,25.1,49950,23.5,49953.0,0.000912134770727605,1253745.0
24,24,25,25.12,49949,25.1,49950.0,0.025135386740608546,1254718.8800000001
25,25,26,25.7,49948,25.12,49949.0,0.0008771103201815136,1283663.5999999999
26,26,27,26.54,49946,25.7,49948.0,0.0012451293609321119,1325566.8399999999
27,27,28,28.59,49943,26.54,49946.0,0.0008076770092851843,1427870.3699999999
28,28,29,30.53,49940,28.59,49943.0,0.0009152977024355603,1524668.2
29,29,30,31.35,49938,30.53,49940.0,0.0015111118491388758,1565556.3
30,30,31,32.92,49936,31.35,49938.0,0.0008197590110035459,1643893.12
31,31,32,32.93,49935,32.92,49936.0,0.06593505622254017,1644359.55
32,32,33,33.35,49933,32.93,49935.0,0.0031603621542340525,1665265.55
33,33,34,36.87,49929,33.35,49933.0,0.0007990572444518899,1840882.23
34,34,35,37.58,49927,36.87,49929.0,0.0021002073972435768,1876256.66
35,35,36,37.73,49926,37.58,49927.0,0.005028057911797055,1883707.9799999997
36,36,37,39.49,49923,37.73,49926.0,0.0013182405432202587,1971459.27
37,37,38,39.75,49922,39.49,49923.0,0.0030524235642168675,1984399.5
38,38,39,40.55,49920,39.75,49922.0,0.002010676869453744,2024255.9999999998
39,39,40,40.69,49919,40.55,49920.0,0.005812214808699125,2031204.1099999999
40,40,41,40.77,49918,40.69,49919.0,0.010199124573053392,2035156.86
41,41,42,42.98,49915,40.77,49918.0,0.001138779589969551,2145346.6999999997
42,42,43,43.52,49913,42.98,49915.0,0.0032092235682410412,2172213.7600000002
43,43,44,44.31,49911,43.52,49913.0,0.002227464641566628,2211556.41
44,44,45,44.7,49910,44.31,49911.0,0.002286400348932278,2230977.0
45,45,46,45.23,49908,44.7,49910.0,0.003399772491595119,2257338.84
46,46,47,46.65,49906,45.23,49908.0,0.0012964959895828759,2328114.9
47,47,48,47.82,49904,46.65,49906.0,0.0016179458920667193,2386409.28
48,48,49,48.23,49902,47.82,49904.0,0.004694473131533751,2406773.46
