"id","sales"
1,49998
2,49997
3,49995
4,49993
5,49990
6,49989
7,49983
8,49981
9,49978
10,49977
11,49976
12,49973
13,49972
14,49970
15,49969
16,49967
17,49963
18,49962
19,49960
20,49959
21,49957
22,49955
23,49953
24,49950
25,49949
26,49948
27,49946
28,49943
29,49940
30,49938
31,49936
32,49935
33,49933
34,49929
35,49927
36,49926
37,49923
38,49922
39,49920
40,49919
41,49918
42,49915
43,49913
44,49911
45,49910
46,49908
47,49906
48,49904
49,49902
50,49900
51,49898
52,49896
53,49892
54,49890
55,49888
56,49887
57,49884
58,49882
59,49881
60,49879
61,49876
62,49874
63,49873
64,49871
65,49868
66,49867
67,49862
68,49860
69,49858
70,49856
71,49855
72,49853
73,49852
74,49849
75,49845
76,49841
77,49839
78,49837
79,49836
80,49833
81,49832
82,49830
83,49828
84,49824
85,49822
86,49820
87,49814
88,49813
89,49812
90,49811
91,49809
92,49806
93,49805
94,49803
95,49800
96,49799
97,49797
98,49795
99,49794
100,49791
101,49790
102,49787
103,49785
104,49783
105,49781
106,49778
107,49775
108,49773
109,49772
110,49769
111,49766
112,49764
113,49762
114,49758
115,49755
116,49751
117,49750
118,49749
119,49747
120,49745
121,49743
122,49742
123,49738
124,49736
125,49735
126,49733
127,49732
128,49730
129,49729
130,49728
131,49723
132,49721
133,49717
134,49716
135,49715
136,49712
137,49711
138,49708
139,49706
140,49705
141,49704
142,49702
143,49698
144,49696
145,49695
146,49693
147,49692
148,49691
149,49689
150,49688
151,49686
152,49685
153,49684
154,49682
155,49681
156,49680
157,49676
158,49675
159,49673
160,49672
161,49670
162,49667
163,49666
164,49664
165,49662
166,49661
167,49660
168,49656
169,49654
170,49651
171,49649
172,49647
173,49646
174,49644
175,49641
176,49639
177,49638
178,49636
179,49632
180,49628
181,49627
182,49625
183,49624
184,49620
185,49618
186,49617
187,49613
188,49611
189,49609
190,49607
191,49605
192,49602
193,49600
194,49598
195,49597
196,49593
197,49591
198,49584
199,49581
200,49576
201,49574
202,49572
203,49571
204,49569
205,49566
206,49564
207,49562
208,49561
209,49560
210,49557
211,49555
212,49553
213,49551
214,49550
215,49547
216,49542
217,49541
218,49537
219,49536
220,49534
221,49532
222,49530
223,49529
224,49526
225,49525
226,49524
227,49523
228,49522
229,49521
230,49515
231,49514
232,49512
233,49510
234,49509
235,49507
236,49506
237,49502
238,49501
239,49499
240,49498
241,49495
242,49493
243,49492
244,49489
245,49485
246,49484
247,49482
248,49480
249,49478
250,49475
251,49474
252,49471
253,49469
254,49468
255,49466
256,49464
257,49463
